registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
6881094,Meagan Davis,1995-02-07,melissa76@burch-phillips.org,956 Johnson Trail,Mechanical,58,91,72,79,95
5112831,Larry Anderson,1998-04-29,jennifer12@juarez-walsh.com,383 Travis Track,Aviation,30,84,87,56,22
4139731,Elizabeth Mendoza,1997-05-03,limichael@hotmail.com,7178 Jessica Manor Suite 404,E&TC,85,77,39,21,70
1807664,David Dunn DVM,1995-08-06,jonathansimmons@brown-nichols.com,6308 Stacy Garden,Chemical,12,60,91,84,61
2981181,Seth Villegas,1997-12-24,parkermatthew@mcguire.biz,86449 Welch Extensions Suite 507,Metallury,30,43,57,11,22
8331270,Jeffrey Walters DVM,1995-06-04,rose80@mejia.com,26568 Martinez Keys Apt. 713,Chemical,72,21,68,85,78
8750495,Courtney Taylor,1998-02-11,michelle28@medina.com,326 Cameron Lights Suite 951,Mechanical,58,23,65,36,81
2473257,Janet Hughes,1994-07-18,linda41@mcdaniel.com,168 Montgomery Squares Suite 360,Civil,72,65,33,80,52
4645145,Carolyn Ford PhD,1995-07-20,anncastillo@gmail.com,7073 Shawn Ford,Aviation,76,93,81,37,79
6455134,Daniel Sullivan,1995-10-07,joshuafreeman@rivera.com,62964 Brian Junction,Computers,83,83,11,92,21
