registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
6774950,Stanley Martin,1997-10-21,cooperbarbara@ayala.org,6769 Obrien Mills,Mechanical,73,59,63,57,17
2562986,David Davis,1996-03-22,larrywalker@yahoo.com,2551 Mullins Estate Apt. 265,Computers,83,14,47,87,48
8185386,Jessica James,1994-07-02,patricia83@jordan.info,11793 Smith Green,Computers,83,55,88,85,17
688997,Stephanie Baird,1997-03-04,nathankennedy@lee-taylor.net,7879 Michelle Square Apt. 583,Metallury,12,43,74,92,41
8658751,Jonathan Ford,1995-07-20,rittertodd@walsh.com,297 Bullock Mission,E&TC,93,73,79,51,26
5065502,John Mckenzie,1997-07-06,robert59@anderson-miller.net,720 Karen Fields,Electrical,66,38,42,55,24
2219641,Valerie Perez,1998-02-21,rmanning@yahoo.com,3493 Jerome Loaf Apt. 975,Aviation,21,70,90,82,65
4200662,Debra Oneill,1995-05-17,helenvasquez@hotmail.com,966 Joseph Camp Apt. 463,IT,13,41,100,52,33
38591,Nicholas Mcbride,1997-08-10,baileyjeanette@gmail.com,393 Jennifer Pass,Chemical,50,51,74,82,34
7487772,Bryan Diaz,1997-03-19,hfry@hotmail.com,709 Adams Harbors Apt. 366,Aviation,84,84,79,99,16
