registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
6870414,Travis Tucker,1998-05-09,reneebrown@gmail.com,7265 Charles Street Apt. 803,IT,86,57,54,40,20
736993,Lisa Rodriguez,1997-05-19,cervanteslori@salazar.net,54388 Christine Falls Suite 781,Civil,40,81,79,52,26
6084337,Timothy Smith,1997-11-20,ashleyshah@mays.net,63024 Linda Greens,Petroleum,95,54,97,64,94
5518365,Adam Phillips,1997-09-06,ihernandez@yahoo.com,32509 Estes Union,Petroleum,11,44,71,52,15
4713059,Michele Aguilar,1995-03-22,kanderson@mata-frost.com,39420 Campbell Glens,E&TC,80,59,17,23,87
6706848,Yolanda Marquez,1997-06-15,fosterariel@petersen-davidson.com,05755 Tiffany Expressway,Mechanical,21,43,66,40,22
7961428,Steven Washington,1996-04-20,kelleybrian@yahoo.com,29475 Tyler Lodge,Civil,80,37,72,71,84
8855861,Brandon Pena,1997-06-21,hklein@yahoo.com,941 Kimberly Divide,Mechanical,63,38,18,57,67
6093871,Tammy Sanchez,1995-06-11,okey@wiggins.com,356 James Junction,Metallury,28,45,97,28,39
6916632,Elizabeth Joseph,1997-09-19,deborah85@alvarez-hudson.com,4187 Clark Mission,Metallury,47,65,58,32,56
