registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
7094623,Aaron Wilson,1998-02-04,walshtracy@phillips.com,7391 Thomas Grove,Aviation,51,39,81,81,36
5905782,Mark Roberts,1996-04-07,jonesjoseph@hotmail.com,35679 Philip Loop Apt. 038,Computers,32,83,78,44,86
6116246,Dustin Williams,1997-06-15,kcross@hotmail.com,070 Leslie Courts Apt. 933,Petroleum,36,53,76,90,10
3081539,Eric Norris,1997-05-17,diane79@martin.com,869 White Views,Mechanical,67,11,80,26,58
4090215,Jesse Harvey,1994-12-19,ricedebra@scott.com,79633 Nelson River Suite 090,Mechanical,70,96,67,22,45
4557761,Diana Peterson,1995-06-01,william33@yahoo.com,457 Michael Court,Civil,33,62,29,94,96
2750892,Jeremy Dickerson,1995-03-02,scopeland@schroeder-gray.com,345 Vega View Apt. 473,IT,50,100,14,61,62
6183108,Matthew Hernandez,1995-06-05,maddenstephen@henderson.biz,8882 Dennis Knolls,Metallury,70,91,58,98,44
916663,Elizabeth Turner,1995-05-12,summersjeffery@obrien.biz,038 Woodward Circles Suite 676,Civil,82,28,73,21,10
4026972,Sarah Zuniga,1996-01-12,jasonbarnes@hotmail.com,2477 Evans Rue Suite 221,Petroleum,58,17,23,37,93
