registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
5342969,Ryan Yates,1995-08-18,andrea72@tate.com,83970 Williams Inlet,Computers,27,71,24,28,59
3572872,Calvin Lee,1994-11-20,bradshawdebbie@norton-wright.net,210 Owens Crest Apt. 806,Mechanical,22,21,65,35,94
939174,John Allen,1997-09-12,williehowell@gmail.com,613 Stanley Points Suite 143,Aviation,96,18,44,34,85
710691,Kara Nunez,1996-02-24,dlamb@robbins-rose.biz,828 David Coves Apt. 310,Civil,42,99,30,46,49
8773767,William Lawrence,1998-05-19,sophiawatkins@ross.com,95261 Zachary Heights Apt. 916,IT,16,48,63,70,69
7347639,Jennifer Shields,1998-02-09,ricejoan@yahoo.com,83209 Campbell Cove,Civil,44,50,84,66,39
3597006,Kathryn Hobbs,1994-07-27,scottbuchanan@estrada.com,79169 Rogers Squares Apt. 865,E&TC,95,62,67,98,82
8920276,Wanda Allen,1996-08-16,rrogers@duncan.com,79947 Nicholson Station Apt. 305,Mechanical,30,53,59,19,49
3077702,Jeffrey Lee,1996-03-04,greenhunter@jones.com,65369 Bender Parkways Suite 889,IT,87,82,43,45,95
6655103,Nicholas Perry,1995-12-13,dreeves@ruiz.info,481 Katherine Vista Apt. 491,IT,66,84,34,70,20
