registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
6952627,Carla Sims,1994-07-17,scottrichard@yahoo.com,034 James Knoll Apt. 233,IT,77,94,88,14,34
7503016,Mr. Kyle Johnson,1996-07-26,cbrock@gmail.com,929 Nunez Spur Apt. 229,Electrical,51,22,13,26,40
91247,Cameron Dunn,1996-06-21,kent10@hotmail.com,30468 Ashley Dale Apt. 016,Mechanical,24,55,23,51,67
3517220,Jordan Diaz,1996-07-02,dawnhudson@reed.com,875 Nicole Circle Suite 071,Civil,52,32,39,83,12
5685319,Teresa Little,1995-08-11,seantaylor@yahoo.com,865 Robinson Center,Civil,57,12,15,18,77
6016588,Angela Ferguson,1998-01-20,nicole28@haney-stewart.com,0630 Carter Trace Suite 575,IT,28,100,90,73,64
4826255,Brittney Nelson,1997-06-06,ndaniels@smith.com,1505 Abbott Groves,E&TC,68,50,23,30,80
257003,Destiny Stone,1997-02-11,rogerskevin@gmail.com,822 Davis Mall Suite 479,IT,76,11,93,66,74
5167993,Richard Strong,1995-05-19,melindapetersen@yahoo.com,3717 Jamie Fort,Aviation,48,24,42,69,85
6788905,Andrew Pierce,1997-02-07,karla20@martin-luna.com,46583 Phillips Corners,Aviation,81,29,63,72,32
3339837,Gabriella Jackson,1994-08-24,waltercortez@estrada.biz,7651 Latoya Cliff,Chemical,12,34,47,70,84
5782139,Lee Smith,1995-02-07,laurenwatts@hotmail.com,2952 Young Via,IT,53,31,46,73,36
7526973,Donald Bass,1995-07-11,cobbgary@yahoo.com,16561 Toni Parkway,Civil,45,34,30,92,51
5994761,Seth Hill,1996-02-14,umacdonald@dawson.com,905 Arthur Crossing,Metallury,51,62,89,33,65
2029108,Daniel Morris,1995-07-01,barneskristin@yahoo.com,4012 Douglas Glen,Petroleum,16,48,67,47,90
2342931,Ronald Perez,1998-04-27,henrywright@clark.biz,0880 Lee Squares Apt. 784,Computers,60,92,64,65,15
5221419,Lauren Lowe,1994-11-03,emelendez@levine-colon.com,839 Miller Mountains Suite 886,Computers,57,10,56,56,77
2467794,Timothy Erickson,1995-08-16,osbornetammy@riley.org,46482 Gould Walks Suite 350,IT,23,83,64,61,88
5537058,Audrey Mitchell,1995-08-07,robert23@sharp.com,929 Danielle Mountain,Aviation,71,42,42,72,64
8802722,Christine Norman,1994-08-08,campbellbrian@gmail.com,523 Smith Ranch Apt. 470,Chemical,39,63,42,87,62
8762680,Levi Hudson,1997-02-14,mary84@hotmail.com,6830 Davies Dam,Electrical,83,46,25,82,85
1789075,Daniel Hoffman,1995-12-16,sarahparker@yahoo.com,0675 Rios Tunnel,Electrical,98,79,32,12,23
7226288,Megan Palmer,1994-07-30,keithscott@simpson.org,42130 Kenneth Parkways Suite 492,Computers,81,36,74,77,16
4310811,Kristen Carlson,1996-09-29,amoreno@thomas.info,27442 Gregory Mission Apt. 723,Civil,43,71,91,81,76
4794237,Mariah Garcia,1994-09-10,karenedwards@rangel.com,0648 Joel Streets Apt. 444,Mechanical,57,84,93,94,24
8157383,Darlene Duffy,1995-09-03,vanessacooke@yahoo.com,87060 Mills Corner Apt. 658,Civil,63,32,52,58,60
1853185,Nancy Graves,1994-12-23,shawncooper@hotmail.com,82387 Ferguson Meadows Apt. 182,IT,28,89,17,21,10
7078704,Renee Gonzalez,1998-03-23,simmonsjoshua@yahoo.com,387 Hunter Harbors Apt. 232,Electrical,70,28,96,26,34
3609045,Alyssa Velasquez,1997-01-08,grossjoshua@yahoo.com,43306 Jason Divide Apt. 548,Mechanical,34,73,58,17,10
6950992,Jeffrey Sanchez,1997-01-06,fmartinez@vasquez.com,3282 James Turnpike,Aviation,92,50,48,90,97
6862071,Elizabeth Owens,1997-07-05,tylerrobert@hotmail.com,46370 Lewis Ridges,Aviation,20,90,29,53,80
7491783,Dennis Hopkins,1998-05-11,cheryl06@hotmail.com,0329 Walter Club Apt. 681,Aviation,99,70,32,68,39
8183118,Kevin Johnson,1998-03-16,ronaldjones@moore.com,6006 Lozano Lights Suite 759,Computers,25,77,25,98,44
2428044,Jonathan Graham,1995-03-06,jjohnson@reese-fox.biz,40247 Chen Junction,E&TC,56,30,35,53,13
5787224,Suzanne Smith DVM,1998-05-08,scottdaniel@gmail.com,45619 Smith Ramp,Mechanical,47,58,98,63,18
7104809,Jessica Gonzalez,1995-04-12,austinpamela@gmail.com,5552 Kerr Lodge Suite 839,IT,51,10,79,28,60
2733742,Timothy Tran,1996-08-16,jgreen@yahoo.com,756 Mendez Turnpike,Metallury,24,29,71,33,84
940852,Willie Campbell,1994-06-08,newtonsteven@gmail.com,327 Lane Extension,Electrical,39,14,94,71,25
4479649,Abigail Price,1997-06-18,christinejohnson@phillips-gordon.com,447 Ward Meadows Apt. 446,IT,95,67,59,44,57
3603688,Joshua Holmes,1994-12-01,hsmith@gmail.com,4219 Lopez Way,IT,69,81,16,47,75
3394331,Christopher Anderson,1994-10-11,noblejenna@hotmail.com,1074 Joe Springs,IT,53,66,55,55,50
