registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
8669306,Edward Franklin,1996-10-10,perezbrandon@hotmail.com,261 Pitts Road Apt. 956,E&TC,35,86,97,85,63
5631895,Adam Estrada,1997-02-18,petersonjesse@gmail.com,6965 Alexander Plains Apt. 225,Metallury,16,31,31,42,25
2300869,Laura Miller,1997-06-02,dustin60@gmail.com,44665 Fowler Track Suite 900,Aviation,55,53,71,17,29
7778789,Kyle Maddox,1996-05-03,andresmartinez@yahoo.com,93036 Stephens Gardens Apt. 361,Chemical,36,66,48,60,99
2106078,Kelly Rodriguez,1997-01-10,adamsmichael@hotmail.com,7754 Anthony Crescent,Computers,61,59,87,87,98
8254312,Patrick Wilson,1995-11-12,jessica69@gmail.com,553 Rogers Knoll Suite 392,Aviation,58,91,57,25,88
3415,Dennis Freeman,1995-08-22,garciachristian@malone-smith.com,2017 Weber Mountains Apt. 008,IT,35,91,47,66,77
213864,David Lucas,1997-05-10,vgalvan@gmail.com,1603 Brian Plain Suite 428,Electrical,90,78,64,59,81
1193095,Juan Ford,1996-07-04,fmiles@miller.com,375 Anderson Pine Suite 804,Metallury,65,71,73,30,77
7358673,Stephanie Thompson,1998-02-25,deborah58@valencia.biz,693 Donovan Mill Suite 835,Metallury,77,77,83,75,30
8140400,Blake Cherry,1996-03-06,fhardin@silva.com,9812 Cole Dam Suite 448,Mechanical,77,43,20,67,21
4090145,Shannon Williams,1995-12-22,marywells@gmail.com,444 Brittany Pike Apt. 389,Aviation,38,15,92,19,75
8812015,Bryan Pratt,1997-11-03,alexandrawest@watkins-johnson.com,97726 Scott Well,Chemical,39,88,86,39,67
3995010,Mr. Michael Russell MD,1996-08-13,regina32@yahoo.com,761 Mccall Harbors,Aviation,84,99,88,40,42
8874206,Daisy Browning,1995-04-11,tammyliu@krueger-hayes.com,993 Brittany Keys,Mechanical,62,44,60,15,72
4364799,Thomas Thomas,1998-05-22,lisa08@gmail.com,64101 Brady Mount,Computers,49,46,29,40,99
1746411,John Johnson,1997-04-08,loganvictor@santos.info,27190 Bryant Creek,Electrical,55,97,15,45,64
4246834,Tina Clay,1996-08-27,achristensen@brown.com,463 Donald Landing,Aviation,49,91,24,46,83
3037863,Amanda Robertson,1994-05-30,tgates@gmail.com,5651 Duncan Union Apt. 488,Mechanical,46,49,46,69,16
8123581,Chad Richard,1996-03-12,brittanyrosario@torres.com,3794 Stephen Parkway Apt. 854,E&TC,59,41,54,38,64
1798755,John Williams,1996-08-01,sara99@west-stevens.com,6088 Christy Station,Civil,37,11,49,22,61
3323463,Christopher Holmes III,1998-01-20,brendawilson@cook.com,492 Tamara Orchard,Electrical,69,17,35,71,96
5981530,Matthew Lamb,1997-02-16,ahall@yahoo.com,457 Lopez Mount,Mechanical,69,17,93,47,65
2103830,Kathy Richardson,1994-09-04,wallerrobin@taylor-warner.com,72453 Olivia Throughway,IT,30,48,73,14,43
7455956,Timothy Foster,1995-07-07,stephensoncraig@perkins.net,952 Barry Field Apt. 985,Civil,56,87,20,44,76
6732527,Aaron Tucker,1995-02-13,ryan15@yahoo.com,15119 Dennis Landing Apt. 822,Mechanical,46,81,42,91,35
3538359,Michael Bass,1994-06-30,jesse87@gmail.com,1008 Mcguire Extension Apt. 831,Electrical,77,88,52,90,54
198521,Craig Green,1996-03-22,adam95@roman.com,00217 Edwards Plaza Suite 221,Mechanical,31,96,15,56,27
7416352,Jennifer Hammond,1995-05-23,karencooper@gibson.com,061 Joseph Club Apt. 870,Electrical,87,55,91,60,88
6343448,Tara Dorsey,1996-06-21,qgardner@thomas-thornton.biz,031 Jackson Ranch Suite 947,Computers,94,70,67,13,85
813785,Leslie Becker,1997-06-08,edwardscindy@gmail.com,41805 West Land Apt. 219,Mechanical,63,87,25,20,39
2318288,Christopher Jones,1994-10-29,samantha83@hotmail.com,4970 Cody Forest,E&TC,79,20,39,11,86
4994844,William Schmidt,1994-06-19,bdavies@hotmail.com,5437 Rebecca Grove,Petroleum,91,88,100,56,67
4804727,Melissa Wilkinson,1998-04-04,rbauer@hotmail.com,9488 Brown Rue,Mechanical,13,80,38,74,16
8800010,Zachary Perez,1996-12-22,hernandezstephanie@evans.com,48659 Wallace Dale,Metallury,10,15,31,74,39
5548641,Hannah Cross,1994-10-14,lopezdavid@gmail.com,2510 Dana Oval,Petroleum,72,61,29,20,41
463860,Haley Craig,1997-06-20,davisangela@yahoo.com,21045 Spencer Greens,Computers,26,32,46,98,74
5847083,Margaret Figueroa,1996-05-04,adriangarcia@yahoo.com,117 Doris Locks,Aviation,94,63,39,61,75
2232203,Richard Lee,1994-11-23,anelson@cruz.com,9374 Amber Highway Apt. 076,Computers,21,27,82,82,31
2543096,Kimberly Andrews,1997-01-21,parkerjulie@saunders.info,20159 Katelyn Fall Apt. 552,Chemical,16,11,52,47,55
7684016,Lisa Thompson,1996-04-27,craig37@gmail.com,6182 Renee Unions,Petroleum,91,76,22,100,75
8119953,Jeffrey Huff,1994-12-13,timothy90@gmail.com,6825 Lee Loaf Suite 323,Mechanical,52,97,22,83,51
2308030,Kim Browning,1998-04-05,sharonharper@harvey.com,36782 James Mission Apt. 277,E&TC,43,26,66,26,88
6258054,Donald Williams,1995-04-25,usanchez@hotmail.com,6497 Randy Ways Suite 841,Chemical,48,92,36,32,57
7100294,Ashley Lang,1994-10-17,fsanchez@mcknight.com,454 Diane Centers,Civil,52,67,62,80,97
793812,Mark Smith,1994-12-28,timothy93@brooks-dunn.com,184 Franklin Alley Suite 606,Petroleum,47,54,60,56,91
6146635,Lisa Smith,1996-06-26,rachel99@richardson-richardson.net,258 Riley Union Apt. 733,Aviation,22,99,98,80,29
8836592,Megan Hampton,1995-08-08,christopher88@gmail.com,956 James Parks,Mechanical,25,70,43,76,62
8495173,Nicholas Lamb,1994-07-16,drakemelvin@hotmail.com,90074 Brandon Station Suite 905,IT,65,46,64,36,62
3592752,Lisa Love,1995-06-03,iperez@johnson.com,02655 Jose Hills,Computers,76,90,59,17,72
5749555,Jeffrey Oneal,1997-02-13,jaguilar@yahoo.com,14926 Middleton Spur Suite 786,Metallury,13,79,25,84,62
2510144,Bruce Brown,1996-01-09,frank95@booth.biz,07137 Fisher Trail Apt. 225,Computers,36,56,27,50,66
