registration_id,student_name,date_of_birth,email,address,department,sub1,sub2,sub3,sub4,sub5
6549625,Jennifer Lopez,1997-04-26,sharonbrown@yahoo.com,163 David Square Apt. 672,Petroleum,65,85,80,74,78
4198077,Ashley Moore,1998-01-01,juan16@yahoo.com,23617 Richard Tunnel,Electrical,66,44,100,78,42
1356068,Amanda Wood,1998-03-04,kevin52@hotmail.com,9287 Glenn Prairie Apt. 512,Aviation,89,94,36,45,95
3378585,Angela Gardner,1997-01-13,hernandezdawn@hotmail.com,294 Alexander River Suite 645,Mechanical,16,40,33,98,45
8456712,Mr. David Brooks,1997-07-12,rivasjoseph@gmail.com,8593 Karen Forges Apt. 174,IT,66,45,19,61,66
6389752,Brianna Montgomery,1996-02-10,ehoward@zuniga.com,732 Margaret Lane,Metallury,41,83,46,33,15
8522049,Andrea Mills,1997-01-14,christinemiller@anderson.com,33670 Jose Meadow Apt. 918,Electrical,12,60,37,37,66
1523719,Lisa Moore,1997-10-05,marcohodges@carpenter.com,33136 Stephanie Common Apt. 364,Chemical,36,28,46,53,41
20273,Raymond Goodman,1997-07-02,jeff12@adkins-holloway.org,277 Erika Mills,IT,30,92,14,20,36
1669542,Zoe Roth,1994-10-12,joconnell@case.com,883 Omar Unions,Chemical,25,82,47,67,91
330414,Christopher Collins,1995-01-29,ericjensen@gmail.com,1775 Maria Well,E&TC,77,93,22,46,14
3414045,Megan Mcclain,1995-03-05,forbestracy@yahoo.com,767 Jackson Heights Suite 895,IT,53,52,92,31,87
5685856,William Cooper,1994-10-28,arthur60@gmail.com,865 Brandt Common,Civil,93,81,99,12,43
2290466,Judith Murphy,1994-12-02,llewis@hotmail.com,623 Jason Plains,Civil,88,23,65,90,38
5020556,Mr. Randy Weaver,1997-08-31,williamreynolds@yahoo.com,131 Christian Junction Suite 926,Petroleum,18,72,12,49,96
8928753,Erika Walker,1995-08-08,malik49@barajas-alvarado.biz,7980 Flores Loop Suite 347,Civil,20,35,65,37,65
8220259,Jackie Taylor,1996-09-25,marcus93@yahoo.com,107 Long Summit,Civil,20,44,72,15,46
1488932,Brent Jones,1996-06-01,murphygregory@pennington-lawson.com,137 Lee Lake,Civil,62,54,65,49,77
